Index," Height(Inches)"""," ""Weight(Pounds)""",ingestion_timestamp,source_file,pipeline_version
35,71.8,140.1,2026-04-27 16:11:01.118291,hw_200_external,v1.0
36,69.21,128.75,2026-04-27 16:11:01.118291,hw_200_external,v1.0
37,66.8,141.8,2026-04-27 16:11:01.118291,hw_200_external,v1.0
38,67.66,121.23,2026-04-27 16:11:01.118291,hw_200_external,v1.0
39,67.81,131.35,2026-04-27 16:11:01.118291,hw_200_external,v1.0
40,64.05,106.71,2026-04-27 16:11:01.118291,hw_200_external,v1.0
41,68.57,124.36,2026-04-27 16:11:01.118291,hw_200_external,v1.0
42,65.18,124.86,2026-04-27 16:11:01.118291,hw_200_external,v1.0
43,69.66,139.67,2026-04-27 16:11:01.118291,hw_200_external,v1.0
44,67.97,137.37,2026-04-27 16:11:01.118291,hw_200_external,v1.0
45,65.98,106.45,2026-04-27 16:11:01.118291,hw_200_external,v1.0
46,68.67,128.76,2026-04-27 16:11:01.118291,hw_200_external,v1.0
47,66.88,145.68,2026-04-27 16:11:01.118291,hw_200_external,v1.0
48,67.7,116.82,2026-04-27 16:11:01.118291,hw_200_external,v1.0
49,69.82,143.62,2026-04-27 16:11:01.118291,hw_200_external,v1.0
50,69.09,134.93,2026-04-27 16:11:01.118291,hw_200_external,v1.0
51,69.91,147.02,2026-04-27 16:11:01.118291,hw_200_external,v1.0
52,67.33,126.33,2026-04-27 16:11:01.118291,hw_200_external,v1.0
53,70.27,125.48,2026-04-27 16:11:01.118291,hw_200_external,v1.0
54,69.1,115.71,2026-04-27 16:11:01.118291,hw_200_external,v1.0
55,65.38,123.49,2026-04-27 16:11:01.118291,hw_200_external,v1.0
56,70.18,147.89,2026-04-27 16:11:01.118291,hw_200_external,v1.0
57,70.41,155.9,2026-04-27 16:11:01.118291,hw_200_external,v1.0
58,66.54,128.07,2026-04-27 16:11:01.118291,hw_200_external,v1.0
59,66.36,119.37,2026-04-27 16:11:01.118291,hw_200_external,v1.0
60,67.54,133.81,2026-04-27 16:11:01.118291,hw_200_external,v1.0
61,66.5,128.73,2026-04-27 16:11:01.118291,hw_200_external,v1.0
62,69.0,137.55,2026-04-27 16:11:01.118291,hw_200_external,v1.0
63,68.3,129.76,2026-04-27 16:11:01.118291,hw_200_external,v1.0
64,67.01,128.82,2026-04-27 16:11:01.118291,hw_200_external,v1.0
65,70.81,135.32,2026-04-27 16:11:01.118291,hw_200_external,v1.0
66,68.22,109.61,2026-04-27 16:11:01.118291,hw_200_external,v1.0
67,69.06,142.47,2026-04-27 16:11:01.118291,hw_200_external,v1.0
68,67.73,132.75,2026-04-27 16:11:01.118291,hw_200_external,v1.0
69,67.22,103.53,2026-04-27 16:11:01.118291,hw_200_external,v1.0
70,67.37,124.73,2026-04-27 16:11:01.118291,hw_200_external,v1.0
71,65.27,129.31,2026-04-27 16:11:01.118291,hw_200_external,v1.0
72,70.84,134.02,2026-04-27 16:11:01.118291,hw_200_external,v1.0
73,69.92,140.4,2026-04-27 16:11:01.118291,hw_200_external,v1.0
74,64.29,102.84,2026-04-27 16:11:01.118291,hw_200_external,v1.0
75,68.25,128.52,2026-04-27 16:11:01.118291,hw_200_external,v1.0
76,66.36,120.3,2026-04-27 16:11:01.118291,hw_200_external,v1.0
77,68.36,138.6,2026-04-27 16:11:01.118291,hw_200_external,v1.0
78,65.48,132.96,2026-04-27 16:11:01.118291,hw_200_external,v1.0
79,69.72,115.62,2026-04-27 16:11:01.118291,hw_200_external,v1.0
80,67.73,122.52,2026-04-27 16:11:01.118291,hw_200_external,v1.0
81,68.64,134.63,2026-04-27 16:11:01.118291,hw_200_external,v1.0
82,66.78,121.9,2026-04-27 16:11:01.118291,hw_200_external,v1.0
83,70.05,155.38,2026-04-27 16:11:01.118291,hw_200_external,v1.0
84,66.28,128.94,2026-04-27 16:11:01.118291,hw_200_external,v1.0
85,69.2,129.1,2026-04-27 16:11:01.118291,hw_200_external,v1.0
86,69.13,139.47,2026-04-27 16:11:01.118291,hw_200_external,v1.0
87,67.36,140.89,2026-04-27 16:11:01.118291,hw_200_external,v1.0
88,70.09,131.59,2026-04-27 16:11:01.118291,hw_200_external,v1.0
89,70.18,121.12,2026-04-27 16:11:01.118291,hw_200_external,v1.0
90,68.23,131.51,2026-04-27 16:11:01.118291,hw_200_external,v1.0
91,68.13,136.55,2026-04-27 16:11:01.118291,hw_200_external,v1.0
92,70.24,141.49,2026-04-27 16:11:01.118291,hw_200_external,v1.0
93,71.49,140.61,2026-04-27 16:11:01.118291,hw_200_external,v1.0
94,69.2,112.14,2026-04-27 16:11:01.118291,hw_200_external,v1.0
95,70.06,133.46,2026-04-27 16:11:01.118291,hw_200_external,v1.0
96,70.56,131.8,2026-04-27 16:11:01.118291,hw_200_external,v1.0
97,66.29,120.03,2026-04-27 16:11:01.118291,hw_200_external,v1.0
98,63.43,123.1,2026-04-27 16:11:01.118291,hw_200_external,v1.0
99,66.77,128.14,2026-04-27 16:11:01.118291,hw_200_external,v1.0
100,68.89,115.48,2026-04-27 16:11:01.118291,hw_200_external,v1.0
101,64.87,102.09,2026-04-27 16:11:01.118291,hw_200_external,v1.0
102,67.09,130.35,2026-04-27 16:11:01.118291,hw_200_external,v1.0
103,68.35,134.18,2026-04-27 16:11:01.118291,hw_200_external,v1.0
104,65.61,98.64,2026-04-27 16:11:01.118291,hw_200_external,v1.0
105,67.76,114.56,2026-04-27 16:11:01.118291,hw_200_external,v1.0
106,68.02,123.49,2026-04-27 16:11:01.118291,hw_200_external,v1.0
107,67.66,123.05,2026-04-27 16:11:01.118291,hw_200_external,v1.0
108,66.31,126.48,2026-04-27 16:11:01.118291,hw_200_external,v1.0
109,69.44,128.42,2026-04-27 16:11:01.118291,hw_200_external,v1.0
110,63.84,127.19,2026-04-27 16:11:01.118291,hw_200_external,v1.0
111,67.72,122.06,2026-04-27 16:11:01.118291,hw_200_external,v1.0
112,70.05,127.61,2026-04-27 16:11:01.118291,hw_200_external,v1.0
113,70.19,131.64,2026-04-27 16:11:01.118291,hw_200_external,v1.0
114,65.95,111.9,2026-04-27 16:11:01.118291,hw_200_external,v1.0
115,70.01,122.04,2026-04-27 16:11:01.118291,hw_200_external,v1.0
116,68.61,128.55,2026-04-27 16:11:01.118291,hw_200_external,v1.0
117,68.81,132.68,2026-04-27 16:11:01.118291,hw_200_external,v1.0
118,69.76,136.06,2026-04-27 16:11:01.118291,hw_200_external,v1.0
119,65.46,115.94,2026-04-27 16:11:01.118291,hw_200_external,v1.0
120,68.83,136.9,2026-04-27 16:11:01.118291,hw_200_external,v1.0
121,65.8,119.88,2026-04-27 16:11:01.118291,hw_200_external,v1.0
122,67.21,109.01,2026-04-27 16:11:01.118291,hw_200_external,v1.0
123,69.42,128.27,2026-04-27 16:11:01.118291,hw_200_external,v1.0
124,68.94,135.29,2026-04-27 16:11:01.118291,hw_200_external,v1.0
125,67.94,106.86,2026-04-27 16:11:01.118291,hw_200_external,v1.0
126,65.63,123.29,2026-04-27 16:11:01.118291,hw_200_external,v1.0
127,66.5,109.51,2026-04-27 16:11:01.118291,hw_200_external,v1.0
128,67.93,119.31,2026-04-27 16:11:01.118291,hw_200_external,v1.0
129,68.89,140.24,2026-04-27 16:11:01.118291,hw_200_external,v1.0
130,70.24,133.98,2026-04-27 16:11:01.118291,hw_200_external,v1.0
131,68.27,132.58,2026-04-27 16:11:01.118291,hw_200_external,v1.0
132,71.23,130.7,2026-04-27 16:11:01.118291,hw_200_external,v1.0
133,69.1,115.56,2026-04-27 16:11:01.118291,hw_200_external,v1.0
134,64.4,123.79,2026-04-27 16:11:01.118291,hw_200_external,v1.0
135,71.1,128.14,2026-04-27 16:11:01.118291,hw_200_external,v1.0
136,68.22,135.96,2026-04-27 16:11:01.118291,hw_200_external,v1.0
137,65.92,116.63,2026-04-27 16:11:01.118291,hw_200_external,v1.0
138,67.44,126.82,2026-04-27 16:11:01.118291,hw_200_external,v1.0
139,73.9,151.39,2026-04-27 16:11:01.118291,hw_200_external,v1.0
140,69.98,130.4,2026-04-27 16:11:01.118291,hw_200_external,v1.0
141,69.52,136.21,2026-04-27 16:11:01.118291,hw_200_external,v1.0
142,65.18,113.4,2026-04-27 16:11:01.118291,hw_200_external,v1.0
143,68.01,125.33,2026-04-27 16:11:01.118291,hw_200_external,v1.0
144,68.34,127.58,2026-04-27 16:11:01.118291,hw_200_external,v1.0
145,65.18,107.16,2026-04-27 16:11:01.118291,hw_200_external,v1.0
146,68.26,116.46,2026-04-27 16:11:01.118291,hw_200_external,v1.0
147,68.57,133.84,2026-04-27 16:11:01.118291,hw_200_external,v1.0
148,64.5,112.89,2026-04-27 16:11:01.118291,hw_200_external,v1.0
149,68.71,130.76,2026-04-27 16:11:01.118291,hw_200_external,v1.0
150,68.89,137.76,2026-04-27 16:11:01.118291,hw_200_external,v1.0
151,69.54,125.4,2026-04-27 16:11:01.118291,hw_200_external,v1.0
152,67.4,138.47,2026-04-27 16:11:01.118291,hw_200_external,v1.0
153,66.48,120.82,2026-04-27 16:11:01.118291,hw_200_external,v1.0
154,66.01,140.15,2026-04-27 16:11:01.118291,hw_200_external,v1.0
155,72.44,136.74,2026-04-27 16:11:01.118291,hw_200_external,v1.0
156,64.13,106.11,2026-04-27 16:11:01.118291,hw_200_external,v1.0
157,70.98,158.96,2026-04-27 16:11:01.118291,hw_200_external,v1.0
158,67.5,108.79,2026-04-27 16:11:01.118291,hw_200_external,v1.0
159,72.02,138.78,2026-04-27 16:11:01.118291,hw_200_external,v1.0
160,65.31,115.91,2026-04-27 16:11:01.118291,hw_200_external,v1.0
161,67.08,146.29,2026-04-27 16:11:01.118291,hw_200_external,v1.0
162,64.39,109.88,2026-04-27 16:11:01.118291,hw_200_external,v1.0
163,69.37,139.05,2026-04-27 16:11:01.118291,hw_200_external,v1.0
164,68.38,119.9,2026-04-27 16:11:01.118291,hw_200_external,v1.0
165,65.31,128.31,2026-04-27 16:11:01.118291,hw_200_external,v1.0
166,67.14,127.24,2026-04-27 16:11:01.118291,hw_200_external,v1.0
167,68.39,115.23,2026-04-27 16:11:01.118291,hw_200_external,v1.0
168,66.29,124.8,2026-04-27 16:11:01.118291,hw_200_external,v1.0
169,67.19,126.95,2026-04-27 16:11:01.118291,hw_200_external,v1.0
170,65.99,111.27,2026-04-27 16:11:01.118291,hw_200_external,v1.0
171,69.43,122.61,2026-04-27 16:11:01.118291,hw_200_external,v1.0
172,67.97,124.21,2026-04-27 16:11:01.118291,hw_200_external,v1.0
173,67.76,124.65,2026-04-27 16:11:01.118291,hw_200_external,v1.0
174,65.28,119.52,2026-04-27 16:11:01.118291,hw_200_external,v1.0
175,73.83,139.3,2026-04-27 16:11:01.118291,hw_200_external,v1.0
176,66.81,104.83,2026-04-27 16:11:01.118291,hw_200_external,v1.0
177,66.89,123.04,2026-04-27 16:11:01.118291,hw_200_external,v1.0
178,65.74,118.89,2026-04-27 16:11:01.118291,hw_200_external,v1.0
179,65.98,121.49,2026-04-27 16:11:01.118291,hw_200_external,v1.0
180,66.58,119.25,2026-04-27 16:11:01.118291,hw_200_external,v1.0
181,67.11,135.02,2026-04-27 16:11:01.118291,hw_200_external,v1.0
182,65.87,116.23,2026-04-27 16:11:01.118291,hw_200_external,v1.0
183,66.78,109.17,2026-04-27 16:11:01.118291,hw_200_external,v1.0
184,68.74,124.22,2026-04-27 16:11:01.118291,hw_200_external,v1.0
185,66.23,141.16,2026-04-27 16:11:01.118291,hw_200_external,v1.0
186,65.96,129.15,2026-04-27 16:11:01.118291,hw_200_external,v1.0
187,68.58,127.87,2026-04-27 16:11:01.118291,hw_200_external,v1.0
188,66.59,120.92,2026-04-27 16:11:01.118291,hw_200_external,v1.0
189,66.97,127.65,2026-04-27 16:11:01.118291,hw_200_external,v1.0
190,68.08,101.47,2026-04-27 16:11:01.118291,hw_200_external,v1.0
191,70.19,144.99,2026-04-27 16:11:01.118291,hw_200_external,v1.0
192,65.52,110.95,2026-04-27 16:11:01.118291,hw_200_external,v1.0
193,67.46,132.86,2026-04-27 16:11:01.118291,hw_200_external,v1.0
194,67.41,146.34,2026-04-27 16:11:01.118291,hw_200_external,v1.0
195,69.66,145.59,2026-04-27 16:11:01.118291,hw_200_external,v1.0
196,65.8,120.84,2026-04-27 16:11:01.118291,hw_200_external,v1.0
197,66.11,115.78,2026-04-27 16:11:01.118291,hw_200_external,v1.0
198,68.24,128.3,2026-04-27 16:11:01.118291,hw_200_external,v1.0
199,68.02,127.47,2026-04-27 16:11:01.118291,hw_200_external,v1.0
200,71.39,127.88,2026-04-27 16:11:01.118291,hw_200_external,v1.0
